BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude,Cost,Quality,Food Type 1,Food Type 2,Food Type 3
Deli Bean Machine,348 Byres Road,Glasgow,G12 8AP,-4.291748,55.876576,,,,,
Deli Bean Machine,180 Crown Street,Glasgow,G5 9XD,-4.25077,55.849184,,,,,
Deli Venezia Ltd,31 Gibson Street,Glasgow,G12 8NU,-4.282448,55.8723,,,,,
Delices,150 Battlefield Road,Glasgow,G42 9JT,-4.265146,55.826083,,,,,
Delightfully Delicious,80 Monreith Road,Glasgow,G43 2PE,-4.27554,55.818413,,,,,
Dell Cafe,368 Alexandra Parade,Glasgow,G31 3AU,-4.223281,55.864091,,,,,
Dewar's Cafe,1700 London Road,Glasgow,G32 8XR,-4.189046,55.841913,,,,,
Di Maggio's,21 Royal Exchange Square,Glasgow,G1 3AJ,-4.252971,55.859875,,,,,
Di Maggios Pizzeria,1040 Pollokshaws Road,Glasgow,G41 3EB,-4.279512,55.831471,,,,,
Di Maggio's Pizzeria,61 Ruthven Lane,Glasgow,G12 9BG,-4.295154,55.875506,,,,,
Di Maggio's Pronto,163 West Nile Street,Glasgow,G1 2RL,-4.254227,55.86528,,,,,
Dilhani's Home Kitchen,30 Kingsway Court,Glasgow,G14 9TJ,-4.35871,55.883804,,,,,
Din Dins,150 Balmore Road,Glasgow,G22 6LJ,-4.257303,55.887441,,,,,
Dining In At Mother India,1345 Argyle Street,Glasgow,,-4.29043502,55.86698055,,,,,
Dino's,35 Sauchiehall Street,Glasgow,G2 3AT,-4.25482,55.864209,,,,,
D'Nisi,265 Kilmarnock Road,Glasgow,G41 3JF,-4.285134,55.826315,,,,,
Dobbies Garden Centre,846 Boclair Road,Glasgow,G62 6EP,-4.286158,55.926417,,,,,
Dominos Pizza,11 Main Street,Glasgow,G69 6SG,-4.113654,55.850395,,,,,
Dougie's Kitchen,514 Tollcross Road,Glasgow,G31 4XX,-4.186874,55.847317,,,,,
Dowanvale Cafe,35 Dowanhill Street,Glasgow,G11 5QR,-4.300744,55.871636,,,,,
Dragon I,311 Hope Street,Glasgow,G2 3PT,-4.256986,55.866281,,,,,
Drake Cafe,6 Drakemire Drive,Glasgow,G44 5EL,-4.245516,55.810167,,,,,
Dream Cakes,16 Kingsbarns Drive,Glasgow,G44 4SN,-4.253857,55.822758,,,,,
Drizzle Cafe/Deli,49 Sinclair Drive,Glasgow,G42 9PR,-4.266867,55.826564,,,,,
East End Diner,12 Millerston Street,Glasgow,G31 1QE,-4.214037,55.858083,,,,,
Eastern Treats,220 Buchanan Street,Glasgow,,,,,,,,
Eastgate Bean Machine,727 London Road,Glasgow,G40 3AQ,-4.220985,55.849357,,,,,
Eat,31 Gordon Street,Glasgow,,,,,,,,
Eat Cafe,69 Kilmarnock Road,Glasgow,G41 3YR,-4.282917,55.828531,,,,,
Eats And Treats,10 Boyd Street,Glasgow,G42 8AW,-4.255423,55.83409,,,,,
Eats By Heavenly Treats,1171 Pollokshaws Road,Glasgow,G41 3NG,-4.282646,55.829903,,,,,
